Compound,N,MAE,RMSE,R2
HARD,5441,0.1469480857818698,0.3390360877359484,0.820534262716986
MEDIUM,2645,0.16534258337992405,0.455818913598706,0.7260919784596558
SOFT,527,0.23659627948903836,0.45227466075182665,0.5354724820564503
