shap_0,shap_1,shap_2,shap_3,shap_4,shap_5,shap_6,shap_7,shap_8,shap_9,shap_10,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10
-0.08307416935350025,-0.09069184013194481,-0.018896542545461473,0.003819073636523535,-0.00040645264279765513,0.014101610064088178,0.0,0.0,-0.002861045602350784,0.0006072498154216788,-0.0031244692176645335,0.35555556,0.0,0.016333334,0.84615386,1.1,0.6666667,0.0,0.0,1.8352941,0.0074333334,0.6666667
-0.07602393497619601,0.6966770993669276,0.0389479211742895,0.0014067531580295538,-0.003837145495919959,0.023256277318636075,0.0,0.0,0.003247825537175345,-0.005344110928451072,0.0013934747932640157,0.044444446,2.0,0.63193333,1.051282,1.4,0.6666667,0.0,0.0,1.2705883,0.6158,0.6666667
-0.07224977362762323,0.31635516474677605,-0.026420424203493772,-0.020570018675279075,-0.00964686889564088,0.25617428152704813,0.0,0.0,-0.007642328742147083,0.0037286899027014764,0.19193269615897426,0.44444445,0.7844,0.0247,1.2051282,1.7,0.0,0.0,0.0,1.7294117,0.0064,0.0
-0.1055657326405898,-0.06346282596663344,-0.01877422051609353,-0.00031226858775001975,-0.004815984224041251,0.013812858295466746,0.0,0.0,-0.0017198900257008973,0.0022895438807263653,-0.0019710237336688936,0.17777778,0.1924,0.0328,1.051282,1.5,0.6666667,0.0,0.0,1.7529411,0.033033334,0.6666667
-0.054173683763451934,-0.07425809371975747,-0.020449288662895717,-0.0033886181752166757,-5.666088800995728e-05,-0.06922865892550453,0.0,0.0,0.0073449294564233575,-0.0033634003893606413,0.03704223574139085,0.44444445,0.0,0.008366667,1.3846154,0.7,2.0,0.0,0.0,1.5352942,0.0073666666,0.0
-0.04265049389460109,-0.08719891907808171,-0.026268809605351058,-0.00949297416018154,0.0015151750845528438,-0.06892612860490015,0.0,0.0,0.0004934750953172118,-9.261777300514917e-05,0.05262365129103725,0.7111111,0.0,0.015833333,1.4615384,0.7,1.3333334,0.0,0.0,1.6941177,0.012733334,0.0
-0.015237456188781952,0.5345630379358779,0.04553740604811905,-0.026976051030815917,0.005055080562582272,0.043349982346533145,0.0,0.0,0.0035239283296020943,-0.0009666034566030435,0.03938434973305899,0.62222224,1.3312,0.42206666,1.4615384,0.8,0.6666667,0.0,0.0,1.7058823,0.094066665,0.0
0.35817884380164644,0.22235642000105618,0.08550066172790174,0.009717623729874603,0.008609923981475698,-0.06134313446180541,0.0,0.0,0.011533106868999362,0.004817090096545185,0.03876891551141791,2.0,1.1672,0.7075667,0.61538464,1.2,1.3333334,0.0,0.0,1.5117648,0.09726667,0.0
-0.14203835196737055,-0.08692547245292007,-0.024256247454687064,-0.010419375409189826,0.0026584335272694256,0.013907311046111802,0.0,0.0,0.01976347971339297,-0.000328034285963813,0.047194111263294126,0.13333334,0.0,0.022766666,1.4358975,0.5,0.6666667,0.0,0.0,1.0,0.0023333333,0.0
-0.04902839756832249,-0.07303871436103608,-0.012463548843586938,0.002135753433007253,0.00237589060111509,-0.05294583249006483,0.0,0.0,0.003372335688558015,-8.976945215896648e-05,-0.0008562848684303806,0.31111112,0.0,0.035566665,0.43589744,0.5,2.0,0.0,0.0,1.5588236,0.0311,0.6666667
0.6431443861664622,-0.06043867396733827,0.0017065114428891544,0.006264820432394152,0.009810213492454886,-0.0656015247705574,0.0,0.0,-0.00015079928544015075,0.006363457657315569,0.07350864803677697,2.0,0.021,0.13733333,0.025641026,0.7,1.3333334,0.0,0.0,1.8294117,3.3333334e-05,0.6666667
-0.05627065654727126,-0.0893224490372816,-0.015131493323080959,0.0027003829375074635,0.003559208072869048,0.013800733961331278,0.0,0.0,-0.00039619814850549995,0.0005354191664261577,-0.040010925877809404,0.44444445,0.0,0.034033332,0.53846157,0.5,0.6666667,0.0,0.0,1.7117647,0.028333334,1.3333334
0.28944750943154923,-0.0897505704613966,0.4690460109917914,-0.018354526846173367,-0.0046356292682524685,0.21372421942964454,0.0,0.0,0.013748140059718753,-0.004973945940548452,-0.10560357552093531,1.1555556,0.0,2.0,1.1794872,0.1,0.0,0.0,0.0,1.6882353,0.0015333333,1.3333334
-0.04285570895106178,-0.07043088251888162,-0.01260127717481982,0.0017060700920451834,0.0003564182145657513,-0.021989849347309305,0.0,0.0,-0.0031576057372590823,0.000459328680723002,-0.0320248634908957,0.35555556,0.0912,0.0036,0.5897436,1.2,1.3333334,0.0,0.0,1.8764706,0.0076,1.3333334
-0.09181932414187186,-0.08836008427272203,-0.014136426780810112,-0.005393681914376953,0.003792058736408884,0.016369356296577865,0.0,0.0,0.00012708765122843024,0.0006048067736633084,-0.0017202433499234897,0.13333334,0.0,0.0281,1.2307693,0.3,0.6666667,0.0,0.0,1.7588235,0.027633334,0.6666667
